oc_jurisdiction_code;oc_company_number;inc_jurisdiction_code;wikirate_number;company_name
hk;F0005502;bm;57409;Li & Fung
us_co;20061448836;us_co;48606;Liberty Interactive
us_md;Z12051652;us_de;48805;Discovery Communications
us_ny;251042;us_de;48933;Constellation Brands
sg;199802418D;sg;49314;Sembcorp Industries
us_md;D05650320;us_md;57918;T Rowe Price
us_fl;F05000004759;us_fl;49542;Fidelity National Financial
us_ca;C2085637;us_ca;49561;Jacobs Engineering
us_mn;7c027d28-b8d4-e011-a886-001ec94ffe7f;us_de;49635;CH Robinson Worldwide
us_oh;719555;us_oh;58115;JM Smucker
us_nc;0050645;us_de;49884;Family Dollar Stores
sg;196300316Z;sg;58355;City Developments
us_ca;C2167918;us_de;56238;Salesforce.com
us_nj;0100735064;us_de;50352;Avis Budget Group
th;0107545000292;th;50430;Airports of Thailand
us_ny;2169147;us_md;58694;SL Green Realty
us_nj;0101001029;us_de;58762;Realogy Holdings
us_nj;2917816500;us_wy;50722;Church & Dwight
us_ny;1226128;us_ny;49810;Regeneron Pharmaceuticals
ch;324840;ch;47423;Zurich Insurance Group
nl;17085815;nl;44435;ASML Holding
us_ca;C2003533;us_de;859846;Fairchild Semiconductor
us_ca;C3356937;us_de;47910;Northrop Grumman
us_oh;1436333;us_ny;47906;American Electric
us_ga;15036864;us_de;56502;Southern Co
nl;33103545;nl;16873;Heineken International
gb;04190816;gb;56820;BT Group
sg;199504676H;sg;50084;Olam International
us_tx;0000816206;us_de;926125;American Airlines
gb;SC045551;gb;74827;Royal Bank of Scotland Group plc
us_nv;C14059-2002;us_nv;57778;Wynn Resorts
us_tx;0001698806;us_de;47951;Kimberly-Clark Corporation
fr;582041943;fr;56972;Pernod Ricard
us_ca;200004610161;us_de;51023;Edwards Lifesciences
us_ct;0009218;us_de;51047;Frontier Communications
in;L27105HR1979PLC009913;in;51107;Jindal Steel & Power
ca_qc;1168137009;ca;52444;Corpa Flora
au;613106906;au;54131;Mr. Smith
gb;02940032;gb;6359;Lush
gb;08903892;gb;53195;Green Keratin
gb;05443092;gb;53773;Lily Lolo
se;556676-4139;se;52455;Cosmopharma
gb;02329621;gb;51666;Aqua Natural
