company,wikirate_company,status,accept_status,aliases
Jones Lang LaSalle Incorporated,,none,,"jones lang lasalle incorporated,jones lang lasalle inc,jll"
"Petco Animal Supplies, Inc.",,none,,"petco animal supplies, inc.,petco animal supplies,petco"
US Bancorp,,none,,"us bancorp,usbancorp"
Industrial Bank,,none,,"industrial bank,cib"
China Citic Bank,,none,,"china citic bank,ecitic"
Reliance Industries,Barilla S.p.A.,partial,0,"reliance industries,ril"
Home Depot,,none,,"home depot,homedepot,Boards & More"
Phillips 66,,none,,"phillips 66,phillips66,Phillips 66 Co."
France Telecom,,none,,"france telecom,francetelecom"
Deutsche Telekom,,none,,"deutsche telekom,telekom3"
Bank of Montreal,,none,,"bank of montreal,bmo"
China Telecom,,none,,"china telecom,chinatelecom-h"
AIA Group,,none,,"aia group,aia"
Delta Air Lines,,none,,"delta air lines,delta,Northwest Airlines"
Deutsche Bank,,none,,"deutsche bank,db"
Valero Energy,,none,,"valero energy,valero,Valero Energy Corp."
PTT PCL,,none,,"ptt pcl,pttplc"
Union Pacific,Lenovo Group Ltd.,partial,0,"union pacific,up"
Taiwan Semiconductor,taiwan semiconductor manufacturing,exact,,"taiwan semiconductor,taiwan semiconductor manufacturing,taiwan semiconductor manufacturing company, ltd.,tsmc,Taiwan Semiconductor Manufacturing (TSMC)"
ACE,The North Face Inc.,partial,0,"ace,acelimited,ACE Group"
Denso,,none,,"denso,globaldenso"
Nomura Holdings,,none,,"nomura holdings,nomura"
BG Group,,none,,"bg group,bg-group"
Continental,,none,,"continental,conti-online,Continental Minerals,Continental Clothing,Continental Airlines ,Continental AG"
BT Group,,none,,"bt group,bt group plc,btplc,BT"
Seven & I Holdings,,none,,"seven & i holdings,7andi"
Danske Bank,,none,,"danske bank,danskebank"
KIA Motors,Nokia,partial,0,"kia motors,kia"
KBC Group,,none,,"kbc group,kbc"
Renault,Loblaw Companies Limited,partial,0,"renault,com"
Sumitomo Corp,,none,,"sumitomo corp,sumitomocorp,Sumitomo Group,Sumitomo Metal Industries"
VTB Bank,,none,,"vtb bank,vtb"
CNP Assurances,,none,,"cnp assurances,cnp"
MS&AD Insurance,,none,,"ms&ad insurance,msig"
Hyundai Mobis,Exxon Mobil,partial,0,"hyundai mobis,mobis"
Apache,,none,,"apache,apachecorp"
Ping An Bank,,none,,"ping an bank,sdb"
JX Holdings,,none,,"jx holdings,hd"
Woolworths,,none,,"woolworths,woolworthslimited,Woolworths Limited,Woolworths Group"
DBS Group,,none,,"dbs group,dbs group holdings,dbs,DBS Bank"
Air Liquide,,none,,"air liquide,airliquide"
Old Mutual,,none,,"old mutual,oldmutual"
China Vanke,,none,,"china vanke,vanke"
Husky Energy,,none,,"husky energy,huskyenergy"
BB&T,,none,,"bb&t,bbandt"
Kinder Morgan,,none,,"kinder morgan,kindermorgan,Kinder Morgan Inc.,Kinder Morgan Energy Partners"
Maybank,,none,,"maybank,maybank2u"
OMV Group,,none,,"omv group,omv"
EOG Resources,,none,,"eog resources,eogresources"
Standard Life,,none,,"standard life,standardlife"
WPP,,none,,"wpp,wppinvestor"
EDP-Energias de Portugal,,none,,"edp-energias de portugal,edp energias de portugal, sa ,energias de portugal, s.a. (edp),edp energias de portugal,edp,EDP (Energias de Portugal)"
Investor,,none,,"investor,investorab"
Fannie Mae,,none,,"fannie mae,fanniemae"
Huaxia Bank,,none,,"huaxia bank,hxb"
CBS,,none,,"cbs,cbscorporation"
Merck KGaA,,none,,"merck kgaa,merck"
Marathon Oil,,none,,"marathon oil,marathon"
Carnival,,none,,"carnival,carnivalcorp"
Freddie Mac,,none,,"freddie mac,freddiemac"
MTN Group,,none,,"mtn group,mtn"
Grupo ACS,,none,,"grupo acs,grupoacs"
Baker Hughes,,none,,"baker hughes,bakerhughes,BJ Services"
Saudi Telecom,,none,,"saudi telecom,stc"
Lincoln National,,none,,"lincoln national,lfg"
Pernod Ricard,,none,,"pernod ricard,pernod-ricard"
Royal Ahold,ahold,exact,,"royal ahold,ahold"
SunTrust Banks,,none,,"suntrust banks,suntrust"
NKSJ Holdings,,none,,"nksj holdings,nksj-hd"
GDF SUEZ,,none,,"gdf suez,gdfsuez"
Fubon Financial,,none,,"fubon financial,fubon"
PG&E,,none,,"pg&e,pgecorp"
Garanti Bank,,none,,"garanti bank,garanti"
Mitsui Fudosan,,none,,"mitsui fudosan,mitsuifudosan"
HDFC Bank,,none,,"hdfc bank,hdfcbank"
Bank of Beijing,,none,,"bank of beijing,bankofbeijing"
PPL,Apple,partial,0,"ppl,pplweb,PPL Corp."
AMP,,none,,"amp,ampgroup,AMP Group"
Macquarie Group,,none,,"macquarie group,macquarie,Macquarie Bank"
Suzuki Motor,,none,,"suzuki motor,suzuki"
SK Hynix,,none,,"sk hynix,hynix"
PPG Industries,,none,,"ppg industries,ppg,PPG Industries Inc."
JFE Holdings,,none,,"jfe holdings,jfe-holdings,JFE"
Tenaga Nasional,,none,,"tenaga nasional,tnb"
Resona Holdings,,none,,"resona holdings,resona-gr,Resona"
Daiwa Securities,,none,,"daiwa securities,daiwa-grp"
Koç Holding,,none,,"koç holding,koc"
Intesa Sanpaolo,,none,,"intesa sanpaolo,intesasanpaolo"
SK Telecom,,none,,"sk telecom,sktelecom"
Charles Schwab,,none,,"charles schwab,schwab"
Tesco,Tesco PLC,partial,1,"tesco,tescoplc"
Mitsubishi Estate,,none,,"mitsubishi estate,mec"
GFNorte,,none,,"gfnorte,banorte"
T&D Holdings,,none,,"t&d holdings,td-holdings"
Bank Mandiri,,none,,"bank mandiri,bankmandiri"
CEZ Group,,none,,"cez group,cez"
SK Innovation,,none,,"sk innovation,skinnovation"
Larsen & Toubro,,none,,"larsen & toubro,larsentoubro"
Piraeus Bank,,none,,"piraeus bank,piraeusbank"
reFRESH Dry Shampoo Robanda International,,none,,"refresh dry shampoo robanda international,robanda"
H. B. Fuller,,none,,"h. b. fuller,h.b. fuller,hbfuller"
"T-Mobile USA, Inc.",,none,,"t-mobile usa, inc.,t-mobile usa,t-mobile us,t-mobile,T-Mobile"
Facebook,,none,,"facebook,fb"
Poly Real Estate,,none,,"poly real estate,gzpoly"
Norilsk Nickel,,none,,"norilsk nickel,nornik"
Toyota Tsusho,,none,,"toyota tsusho,toyotsu"
DISH Network,,none,,"dish network,dishnetwork"
Adidas,Adidas,exact,,"adidas,adidas-group"
Cenovus Energy,,none,,"cenovus energy,cenovus"
Omnicom Group,,none,,"omnicom group,omnicomgroup,Omnicom"
Cardinal Health,,none,,"cardinal health,cardinal"
Otsuka Holding,,none,,"otsuka holding,otsuka"
Thales,,none,,"thales,thalesgroup"
Grupo Mexico,,none,,"grupo mexico,gmexico"
CLP Holdings,,none,,"clp holdings,clpgroup"
Swire Pacific,,none,,"swire pacific,swirepacific,Swire Group"
CIC Group,,none,,"cic group,cic-banques"
Suncorp Group,,none,,"suncorp group,suncorp"
Aisin Seiki,,none,,"aisin seiki,aisin"
Daikin Industries,,none,,"daikin industries,daikin"
LG Chem,,none,,"lg chem,lgchem"
Transocean,,none,,"transocean,deepwater"
Mazda Motor,,none,,"mazda motor,mazda"
Compass Group,,none,,"compass group,compass-group"
Grupo Aval,,none,,"grupo aval,grupoaval"
Xcel Energy,,none,,"xcel energy,xcelenergy"
J Sainsbury,,none,,"j sainsbury,j-sainsbury,Sainsbury"
Lotte Shopping,,none,,"lotte shopping,lotteshopping"
Sabanci Holding,,none,,"sabanci holding,sabanci"
Grupo Modelo,,none,,"grupo modelo,gmodelo"
Carlsberg,,none,,"carlsberg,carlsberggroup,Carlsberg Breweries"
Al Rajhi Bank,,none,,"al rajhi bank,alrajhi-capital"
Hartford Financial Services,,none,,"hartford financial services,the hartford,the hartford financial services group,thehartford"
Telecom Italia,,none,,"telecom italia,telecomitalia"
Tokyo Gas,,none,,"tokyo gas,tokyo-gas"
Sumitomo Electric,,none,,"sumitomo electric,sei"
Public Bank,,none,,"public bank,publicbank"
Alpha Bank,,none,,"alpha bank,alpha"
Publicis Groupe,,none,,"publicis groupe,publicisgroupe"
ASML Holding,ASML Holding,exact,,"asml holding,asml"
SLM,,none,,"slm,salliemae,Sallie Mae"
ConAgra Foods,,none,,"conagra foods,conagra"
Sime Darby,,none,,"sime darby,simedarby"
George Weston,,none,,"george weston,weston"
Anhui Conch Cement,,none,,"anhui conch cement,conch"
Swatch Group,,none,,"swatch group,swatchgroup,Swatch"
National Bank of Greece,,none,,"national bank of greece,nbg"
Stryker,,none,,"stryker,strykercorp"
FirstEnergy,,none,,"firstenergy,firstenergycorp,Allegheny Energy,FirstEnergy Corp."
Biogen Idec,,none,,"biogen idec,biogenidec"
M&T Bank,,none,,"m&t bank,mandtbank"
Murphy Oil,,none,,"murphy oil,murphyoilcorp"
Formosa Chemicals,,none,,"formosa chemicals,fcfc"
Liberty Global,,none,,"liberty global,lgi"
PKO Bank Polski,,none,,"pko bank polski,pkobp"
Bharti Airtel,,none,,"bharti airtel,bhartiairtel"
Siam Cement,,none,,"siam cement,siamcement"
Axis Bank,,none,,"axis bank,axisbank"
Couche Tard,,none,,"couche tard,couche-tard"
Daqin Railway,,none,,"daqin railway,daqintielu"
Metro Group,,none,,"metro group,metrogroup"
Parker-Hannifin,,none,,"parker-hannifin,parker,Parker Hannifin"
Bancolombia,,none,,"bancolombia,grupobancolombia"
PGE,,none,,"pge,pgesa"
Asahi Kasei,,none,,"asahi kasei,asahi-kasei"
Liberty Media,,none,,"liberty media,libertymedia"
Kohl's,,none,,"kohl's,kohl’s corporation,kohls"
BAE Systems,,none,,"bae systems,baesystems"
Priceline.com,,none,,"priceline.com,pricelinegroup"
Chunghwa Telecom,,none,,"chunghwa telecom,cht"
CME Group,,none,,"cme group,cme"
Yara International,,none,,"yara international,yara"
XL Group,,none,,"xl group,xlcapital"
Isuzu Motors,,none,,"isuzu motors,isuzu"
Magnit,,none,,"magnit,magnit-info"
Yum Brands,"Yum! Brands, Inc.",partial,1,"yum brands,yum! brands,yum,YUM!,KFC (part of YUM!)"
DTE Energy,,none,,"dte energy,dteenergy"
Toray Industries,,none,,"toray industries,toray"
Ingersoll-Rand,,none,,"ingersoll-rand,irco"
PTT Global Chemical,,none,,"ptt global chemical,pttchem"
Li & Fung,,none,,"li & fung,li & fung limited,lifung"
Henderson Land,,none,,"henderson land,hilhk"
Erste Group Bank,,none,,"erste group bank,erstebank"
GD Power Development,,none,,"gd power development,600795"
Nan Ya Plastics,,none,,"nan ya plastics,npc"
New World Development,,none,,"new world development,nwd"
Sekisui House,,none,,"sekisui house,sekisuihouse"
Idemitsu Kosan,,none,,"idemitsu kosan,idemitsu"
Grupo Pão de Açúcar,,none,,"grupo pão de açúcar,gpari"
Bangkok Bank,,none,,"bangkok bank,bangkokbank"
Westfield Group,,none,,"westfield group,westfield"
KeyCorp,,none,,"keycorp,key"
National Bank of Kuwait,,none,,"national bank of kuwait,nbk"
Samba Financial Group,,none,,"samba financial group,samba"
Wheelock & Co,,none,,"wheelock & co,wheelockcompany"
Citic Securities,,none,,"citic securities,citics"
Riyad Bank,,none,,"riyad bank,riyadbank"
Japan Airlines,,none,,"japan airlines,jal"
Devon Energy,,none,,"devon energy,devonenergy"
Luxottica Group,,none,,"luxottica group,luxottica"
Grupo Inbursa,,none,,"grupo inbursa,inbursa"
BRF-Brasil Foods,,none,,"brf-brasil foods,perdigao"
Fosun International,,none,,"fosun international,fosun"
Citic Pacific,,none,,"citic pacific,citicpacific"
Itaúsa,,none,,"itaúsa,itausa"
TRW Automotive Holdings,,none,,"trw automotive holdings,trw"
IDGC Holding,,none,,"idgc holding,holding-mrsk"
Hyundai Steel,,none,,"hyundai steel,hyundai-steel"
Noble Energy,,none,,"noble energy,nobleenergyinc"
EnBW-Energie Baden,,none,,"enbw-energie baden,enbw"
Peugeot,,none,,"peugeot,psa"
LG Display,,none,,"lg display,lgdisplay"
China CNR,,none,,"china cnr,chinacnr"
Grupa PZU,,none,,"grupa pzu,pzu"
Krung Thai Bank,,none,,"krung thai bank,ktb"
Bank of Baroda,,none,,"bank of baroda,bankofbaroda"
Sinohydro Group,,none,,"sinohydro group,sinohydro"
San Miguel,,none,,"san miguel,sanmiguel,San Miguel Corporation"
RTL Group,,none,,"rtl group,rtl-group"
Bâloise Group,,none,,"bâloise group,baloise"
Longfor Properties,,none,,"longfor properties,longfor"
Bank of East Asia,,none,,"bank of east asia,hkbea"
Ensco,,none,,"ensco,enscous"
HollyFrontier,,none,,"hollyfrontier,hollycorp"
Bank Hapoalim,,none,,"bank hapoalim,bankhapoalim"
SJM Holdings,,none,,"sjm holdings,sjmholdings"
Dover,,none,,"dover,dovercorporation,Dover Corp."
Alcatel-Lucent,,none,,"alcatel-lucent,alcatel"
Great Wall Motor,,none,,"great wall motor,gwm"
Lixil Group,,none,,"lixil group,jsgc"
Hanwha Life Insurance,,none,,"hanwha life insurance,korealife"
Formosa Plastics,,none,,"formosa plastics,fpc"
Galp Energia,,none,,"galp energia,galpenergia"
UBI Banca,,none,,"ubi banca,ubibanca"
Actavis,,none,,"actavis,watsonpharm"
Axiata Group,Loblaw Companies Limited,partial,0,"axiata group,com"
Assa Abloy,,none,,"assa abloy,assaabloy"
Reed Elsevier,,none,,"reed elsevier,reedelsevier,Reed Elsevier Group"
Oi,Oil and Natural Gas Corporation,partial,0,"oi,brasiltelecom"
Unipol Gruppo,,none,,"unipol gruppo,unipolgf"
Kweichow Moutai,,none,,"kweichow moutai,moutaichina"
Grupo Televisa,,none,,"grupo televisa,televisa"
Genuine Parts,,none,,"genuine parts,genpt"
Ross Stores,,none,,"ross stores,rossstores"
RusHydro,,none,,"rushydro,gidroogk"
WW Grainger,,none,,"ww grainger,grainger"
Jiangxi Copper,,none,,"jiangxi copper,jxcc"
Samsung C&T,Samsung,partial,2,"samsung c&t,samsungcnt"
Pgnig Group,,none,,"pgnig group,pgnig"
Credicorp,,none,,"credicorp,credicorpnet"
Sinopharm Group,,none,,"sinopharm group,sinopharmholding"
Rostelecom,Sports Direct,partial,0,"rostelecom,rt"
CIT Group,,none,,"cit group,cit"
Hanwha Corp,,none,,"hanwha corp,hanwhacorp"
Kobe Steel,,none,,"kobe steel,kobelco"
News Corp,,none,,"news corp,news corp.,newscorp,News Corporation,News International"
GKN,,none,,"gkn,gknplc"
KT Corp,Praktiker,partial,0,"kt corp,kt"
Ryanair Holdings,ryanair,exact,,"ryanair holdings,ryanair"
Haitong Securities,,none,,"haitong securities,htsec"
Sumitomo Metal Mining,,none,,"sumitomo metal mining,smm"
Link REIT,,none,,"link reit,thelinkreit"
GAIL India,,none,,"gail india,gailonline"
Johnson Matthey,,none,,"johnson matthey,matthey"
Korea Gas,,none,,"korea gas,kogas"
MGM Resorts,,none,,"mgm resorts,mgmresorts"
SM Investments,,none,,"sm investments,sminvestments"
Canara Bank,,none,,"canara bank,canbankindia"
St Jude Medical,,none,,"st jude medical,sjm"
CGI Group,,none,,"cgi group,cgi"
Noble Group,,none,,"noble group,thisisnoble"
Bank of India,,none,,"bank of india,bankofindia"
Bank of Greece,,none,,"bank of greece,bankofgreece"
Canadian Tire,,none,,"canadian tire,canadiantire"
Bank of Yokohama,,none,,"bank of yokohama,boy"
Grupo Carso,,none,,"grupo carso,gcarso"
Banco Popolare,,none,,"banco popolare,bancopopolare"
NHN,,none,,"nhn,nhncorp"
Wynn Resorts,,none,,"wynn resorts,wynnresorts"
Weichai Power,,none,,"weichai power,weichai"
Wendel,,none,,"wendel,wendel-investissement"
Bidvest Group,,none,,"bidvest group,bidvest"
Hankyu Hanshin Holdings,,none,,"hankyu hanshin holdings,hankyu"
Qingdao Haier,,none,,"qingdao haier,haier"
Power Grid of India,,none,,"power grid of india,powergridindia"
Rock-Tenn,,none,,"rock-tenn,rocktenn"
Pohjola Bank,,none,,"pohjola bank,pohjola"
DP World,,none,,"dp world,dpworld"
Legrand,,none,,"legrand,legrandelectric"
Guangzhou R&F,,none,,"guangzhou r&f,rfchina"
Mediatek,,none,,"mediatek,mtk"
KGHM Polska Miedz,,none,,"kghm polska miedz,kghm"
Ventas,,none,,"ventas,ventasreit"
Neste Oil,,none,,"neste oil,nesteoil"
Air France-KLM,,none,,"air france-klm,airfrance"
Lagardère,,none,,"lagardère,lagardere"
Tingyi Holding,,none,,"tingyi holding,tingyi"
BorgWarner,,none,,"borgwarner,bwauto"
Dangote Cement,,none,,"dangote cement,dangote-group,Dangote Group"
Helvetia Holding,,none,,"helvetia holding,helvetia"
Latam Airlines,,none,,"latam airlines,lanchile"
All Nippon Airways,Ryanair,partial,0,"all nippon airways,ana"
RHB Capital,,none,,"rhb capital,rhb"
Hormel Foods,,none,,"hormel foods,hormel"
Intact Financial,,none,,"intact financial,intactfc"
Delhaize Group,,none,,"delhaize group,delhaizegroup,Delhaize"
Eletrobrás,,none,,"eletrobrás,eletrobras"
Norsk Hydro,,none,,"norsk hydro,hydro"
Shaw Communications,,none,,"shaw communications,shaw,Shaw Group"
Tohoku Electric Power,,none,,"tohoku electric power,tohoku-epco"
Lend Lease Group,,none,,"lend lease group,lendlease,Lend Lease"
Shizuoka Bank,,none,,"shizuoka bank,shizuokabank"
Hyundai Engineering,,none,,"hyundai engineering,hdec"
Daito Trust Construction,,none,,"daito trust construction,kentaku"
T Rowe Price,,none,,"t rowe price,troweprice,T. Rowe Price"
CMS Energy,,none,,"cms energy,cmsenergy"
Arab Bank,,none,,"arab bank,arabbank"
Yamato Holdings,,none,,"yamato holdings,yamato-hd"
Kawasaki Heavy Industries,,none,,"kawasaki heavy industries,khi"
Zimmer Holdings,,none,,"zimmer holdings,zimmer"
Bank of Ningbo,,none,,"bank of ningbo,nbcb"
MOL Hungarian Oil,Colgate-Palmolive,partial,0,"mol hungarian oil,mol"
Dollar Tree,,none,,"dollar tree,dollartree"
Sharp,,none,,"sharp,com/index"
Bank of Nanjing,,none,,"bank of nanjing,njcb"
Delta Lloyd,,none,,"delta lloyd,deltalloyd"
SMC Corp,,none,,"smc corp,smcworld"
Südzucker,,none,,"südzucker,suedzucker"
AmBank Group,,none,,"ambank group,ambankgroup"
Suning Appliance,,none,,"suning appliance,cnsuning"
Turk Telekom,,none,,"turk telekom,turktelekom"
Osaka Gas,,none,,"osaka gas,osakagas"
Asahi Glass,,none,,"asahi glass,agc"
Fairfax Financial,,none,,"fairfax financial,fairfax,Fairfax Financial Holdings"
Colruyt,,none,,"colruyt,colruytgroup"
Noble,,none,,"noble,noblecorp"
BCI-Banco Credito,,none,,"bci-banco credito,bci"
Hong Kong Exchanges,,none,,"hong kong exchanges,hkex"
Sears Holdings,,none,,"sears holdings,searshc,Sears"
El Puerto de Liverpool,,none,,"el puerto de liverpool,liverpool"
E-mart,,none,,"e-mart,emartmall"
W&W-Wüstenrot,,none,,"w&w-wüstenrot,ww-ag"
Red Eléctrica,,none,,"red eléctrica,ree"
Delta Electronics,,none,,"delta electronics,deltaww"
CPFL Energia,,none,,"cpfl energia,cpfl"
Chiba Bank,,none,,"chiba bank,chibabank"
Hyundai Glovis,,none,,"hyundai glovis,glovis"
Hang Lung Group,,none,,"hang lung group,hanglung"
Inner Mongolia Yili,,none,,"inner mongolia yili,yili"
Caltex Australia,,none,,"caltex australia,caltex"
WR Berkley,,none,,"wr berkley,wrbc"
Moody's,,none,,"moody's,moodys"
Espirito Santo Financial,,none,,"espirito santo financial,esfg"
Want Want China,,none,,"want want china,want-want,Want Want Foods"
Yamaha Motor,,none,,"yamaha motor,yamaha-motor"
Pegatron,Pegatron Corporation,partial,1,"pegatron,pegatroncorp"
Banca MPS,Loblaw Companies Limited,partial,0,"banca mps,mps"
BPI,BP,partial,0,"bpi,bpiexpressonline"
Anadolu Efes,,none,,"anadolu efes,anadoluefes"
HAL Trust,,none,,"hal trust,halinvestments"
Cosmo Oil,,none,,"cosmo oil,cosmo-oil"
Wuliangye Yibin,,none,,"wuliangye yibin,wuliangye"
Oriental Land,,none,,"oriental land,olc"
Power Finance,,none,,"power finance,pfcindia"
CP All,,none,,"cp all,cpall"
Oji Holdings,,none,,"oji holdings,ojipaper"
Adani Enterprises,,none,,"adani enterprises,adanigroup"
Ingram Micro,,none,,"ingram micro,ingrammicro"
JM Smucker,,none,,"jm smucker,smuckers"
Wärtsilä,,none,,"wärtsilä,wartsila"
Xiamen C&D,,none,,"xiamen c&d,chinacnd"
Clorox,,none,,"clorox,thecloroxcompany"
Novolipetsk Steel,,none,,"novolipetsk steel,nlmksteel"
Harbin Bank,,none,,"harbin bank,hrbcb"
Mitsui OSK Lines,Colgate-Palmolive,partial,0,"mitsui osk lines,mol,Mitsui O.S.K. Lines (MOL)"
TUI,,none,,"tui,tui-group,TUI Travel"
CJ Corp,,none,,"cj corp,cj"
Bank of Ayudhya,,none,,"bank of ayudhya,krungsri"
Thai Beverage,,none,,"thai beverage,thaibev"
SKF Group,,none,,"skf group,skf"
Shinsei Bank,,none,,"shinsei bank,shinseibank"
OTP Bank,,none,,"otp bank,otpbank"
Delek Group,,none,,"delek group,delek-group"
Empire,,none,,"empire,empireco"
Essar Energy,,none,,"essar energy,essarenergy,Essar Group"
CONSOL Energy,,none,,"consol energy,consolenergy"
Masraf Al Rayan,,none,,"masraf al rayan,alrayan"
GF Securities,,none,,"gf securities,gf"
IDBI Bank,,none,,"idbi bank,idbi"
Savola Group,,none,,"savola group,savola"
Vornado Realty,,none,,"vornado realty,vno"
Pirelli & C,,none,,"pirelli & c,pirelliandc"
Popular,,none,,"popular,mypopularbanking"
Metro Inc,,none,,"metro inc,metro"
