company,year,report_type,source,title
Avnet,2017,Modern Slavery Statement,https://www.avnet.com/wps/wcm/connect/onesite/e3641520-bc00-423d-8802-a3e3144299b0/Statement-Against-Modern-Slavery-Human-Trafficking.pdf?MOD=AJPERES&CVID=lHtgmk4&CVID=lHtgmk4&attachment=true&id=1491161117885,Avnet Inc - MSA statement 2017,
Axalta Coating Systems Ltd.,2017,Modern Slavery Statement,https://www.axaltacs.com/corporate/en_US/about-axalta/the-modern-slavery-act-disclosure-statement.print.pdf,Axalta Coating System UK - MSA statement 2017,
Bang & Olufsen,2016,Modern Slavery Statement,http://az498215.vo.msecnd.net/static/files/Slavery%20and%20human%20trafficking%20statement.pdf,Bang & Olufsen - MSA statement 2016,
Bank of New York Mellon,2017,Modern Slavery Statement,https://www.bnymellon.com/emea/en/who-we-are/modern-slavery-act.jsp,Bank of New York Mellon Corp - MSA statement 2017,
Barratt Developments,2017,Modern Slavery Statement,http://www.barrattdevelopments.co.uk/~/media/Files/B/Barratt-Developments/policies/2016/BARRATT-DEVELOPMENTS-PLC-MODERN-SLAVERY-AND-HUMAN-TRAFFICKING-STATEMENT-2016.pdf,Baratt Development - MSA statement 2017,
Bestseller AS,2017,Modern Slavery Statement,http://about.bestseller.com/media/1914/bestsellers-modern-slavery-statement-2016.pdf,Bestseller - MSA statement 2017,
BRADY CORP,2017,Modern Slavery Statement,http://www.bradycorp.com/en/about/~/media/BradyCorp/About/Policies/Brady%20Forced%20Labor%20and%20Human%20Trafficking%20POLICY%201062016.pdf,Brady Corp - MSA statement 2017,
Brambles,2017,Modern Slavery Statement,http://brambles.com/Content/cms/Corporate_Governance/UK_Modern_Slavery_Act_Statement_Brambles_2016.pdf,Brambles Ltd - MSA statement 2017,
British American Tobacco,2017,Modern Slavery Statement,http://www.bat.com/group/sites/uk__9d9kcy.nsf/vwPagesWebLive/DOAK8P7C/$FILE/medMDAKVFP7.pdf?openelement,British American Tobacco - MSA statement 2017,
Camira Fabrics,2016,Modern Slavery Statement,https://www.camirafabrics.com/sites/default/files/document-library/Modern%20Slavery%20Act.pdf,Camira Fabrics Ltd - MSA statement 2016,
Canadian Imperial Bank,2017,Modern Slavery Statement,https://www.cibc.com/content/dam/about_cibc/corporate_responsibility/pdfs/modern-slavery-act-en.pdf,Canadian Imperial Bank of Commerce - MSA statement 2017,
Coca-Cola HBC Northern Ireland Ltd,2017,Modern Slavery Statement,http://ie.coca-colahellenic.com/media/2955/cchbc-slavery-and-human-trafficking-statement-2016_signed.pdf,Coca Cola HBC Northern Ireland Ltd - MSA statement 2017,
Corning Inc.,2016,Modern Slavery Statement,https://www.corning.com/media/worldwide/global/documents/UK_Modern_Slavery_Act.pdf,Corning Inc - MSA statement 2016,
Danaher,2017,Modern Slavery Statement,http://investors.danaher.com/image/Danaher+UK+MSA+Statement+June+2017.pdf,Danaher Corp - MSA statement 2017,
Deutsche Bahn AG,2017,Modern Slavery Statement,https://www.deutschebahn.com/file/en/11888348/3zuK9gmRkjyOaf9SyUjfhguZDZY/14555912/data/uk_modern_slavery_act.pdf,Deutsche Bahn Group - MSA statement 2017,
Discovery Communications,2017,Modern Slavery Statement,https://corporate.discovery.com/discoverys-modern-slavery-statement/,Discovery Communications - MSA statement 2017,
Dixons Carphone,2016,Modern Slavery Statement,http://www.dixonscarphone.com/our-responsibilities/modern-slavery-statement,Dixons Carphone - MSA statement 2016,
DLF,2016,Modern Slavery Statement,http://www.dlf.co.uk/about-dlf/slavery-and-human-trafficking-statement.aspx,DLF - MSA statement 2016,
Donnelley Financial Solutions Inc.,2017,Modern Slavery Statement,https://emea.dfsco.com/emea/docs/library/compliance.pdf,Donnelley Financial Solutions -  MSA statement 2017,
Emerson Electric Company,2017,Modern Slavery Statement,http://www.emerson.com/documents/corporate/190024.pdf,Emerson Electric Co - MSA statement 2017,
Energizer,2016,Modern Slavery Statement,http://www.energizerholdings.com/en/company/supplier-relations/Documents/UK_Modern_Slavery_California_Transparency_Policy.pdf,Energizer - MSA statement 2016,
FleetCor Technologies,2017,Modern Slavery Statement,https://www.fuelcards.co.uk/modern-slavery-statement/,FleetCor Technologies Inc - MSA statement 2017,
Fyffes plc,2017,Modern Slavery Statement,http://www.fyffes.com/pages/modern-day-slavery,Fyffes Group - MSA statement 2017,
Gardner Denver,2017,Modern Slavery Statement,http://www.gardnerdenver.com/company/corporate_responsibility/transparency_in_supply_chains_anti_slavery_and_human_trafficking_statement/,Gardner Denver Inc - MSA statement 2017,
IC Group AS,2017,Modern Slavery Statement,http://1ij5r73z81m72a9uqy1agofi.wpengine.netdna-cdn.com/wp-content/uploads/Transparency_in_Supply_Chains_Statement_2016.pdf,IC Group - MSA statement 2017,
Idemitsu Kosan,2017,Modern Slavery Statement,http://www.idemitsu.com/content/100797498.pdf,Idemitsu Kosan - MSA statement 2017,
Illinois Tool Works,2017,Modern Slavery Statement,http://investor.itw.com/~/media/Files/I/ITW-IR/documents/anti-human-trafficking-disclosures.pdf,Illinois Tool Works Inc - MSA statement 2017,
Inchcape,2017,Modern Slavery Statement,http://www.inchcape.com/en/responsibility/modern-slavery-statement.html,Inchcape - MSA statement 2017,
Infineon Technologies,2017,Modern Slavery Statement,https://www.infineon.com/dgdl/Infineon+Technologies+Slavery+and+Human+Trafficking+Statement.pdf?fileId=5546d4615affca26015b1acdcb060464,Infineon Technologies - MSA statement 2017,
