"Kuehne + Nagel","kuehne + nagel|kuehne-nagel"
"Eastman Chemical","eastman chemical|eastman chemical company|eastman|Solutia|Eastman Chemical Co."
"Cemex",""
"Saudi British Bank","saudi british bank|sabb"
"Shimao Property Holdings","shimao property holdings|shimaoproperty"
"Cameron International","cameron international|c-a-m|Cameron International Corp."
"Mediolanum",""
"Discovery Communications","discovery communications|discoveryholding"
"China Yangtze Power","china yangtze power|cypc"
"Punjab National Bank","punjab national bank|pnbindia"
"Republic Services","republic services|republicservices"
"Mahindra & Mahindra","mahindra & mahindra|mahindra|Mahindra & Mahindra Ltd."
"Valeo",""
"Vienna Insurance Group","vienna insurance group|viennainsurancegroup"
"KPN","KPN N.V."
"Abu Dhabi Commercial Bank","abu dhabi commercial bank|adcb"
"Mylan","Mylan Laboratories"
"AntarChile",""
"Woori Finance Holdings","woori finance holdings|woorifg"
"China Shipbuilding Industry","china shipbuilding industry|csic"
"Stanley Black & Decker","stanley black & decker|stanleyblackanddecker|Stanley Works"
"ALFA","Alfa 5|Alfa, S.A."
"Bed Bath & Beyond","bed bath & beyond|the organic cabinet|bedbathandbeyond"
"ITC","itc|itcportal|ITC Limited"
"Mega Financial Holding","mega financial holding|megaholdings"
"Invesco",""
"American Capital Agency","american capital agency|agnc"
"Kone",""
"Hertz Global Holdings","hertz global holdings|hertz"
"AutoZone",""
"Eiffage",""
"Nielsen Holdings","nielsen holdings|nielsen"
"Origin Energy","origin energy|originenergy"
"Rakuten",""
"Fanuc",""
"Sherwin-Williams","sherwin-williams|the sherwin-williams company|sherwin"
"Naspers",""
"Tokyu",""
"Royal Caribbean Cruises","royal caribbean cruises|royalcaribbean|Royal & SunAlliance"
"Datang International Power","datang international power|dtpower"
"Essilor International","essilor international|essilor"
"Constellation Brands","constellation brands|cbrands|Constellation Energy"
"Applied Materials","applied materials|applied materials, inc.|appliedmaterials"
"Whole Foods Market","whole foods market|wholefoods"
"HCP","hcp|hcpi"
"ICA Gruppen",""
"Bharat Heavy Electricals","bharat heavy electricals|bhel|Bharat Heavy Electricals Limited - BHEL"
"TD Ameritrade Holding","td ameritrade holding|amtd"
"Marriott International","marriott international|marriott international, inc.|marriott"
"Secom",""
"Agilent Technologies","agilent technologies|agilent"
"Textron","Textron Inc."
"Staples",""
"Everest Re Group","everest re group|everestregroup"
"Land Securities Group","land securities group|landsecurities|Land Securities"
"Weatherford International","weatherford international|weatherford"
"American Tower","american tower|americantower"
"Bank of Ireland","bank of ireland|bankofirelandmortgages"
"Chow Tai Fook Jewellery","chow tai fook jewellery|chowtaifook"
"China Steel","china steel|Computer Sciences Corporation SAS"
"Samsung Heavy Industries","samsung heavy industries|shi|Samsung Heavy Industries Ltd."
"CF Industries Holdings","cf industries holdings|cfindustries"
"Industries Qatar","industries qatar|industriesqatar"
"Power Assets Holdings","power assets holdings|powerassets|Power Assets Holdings Limited"
"Belgacom",""
"Areva",""
"DSM","Royal DSM"
"VakifBank",""
"Genting",""
"Financiere de l'Odet","financiere de l'odet|bollore"
"Boston Properties","boston properties|bostonproperties"
"Zhejiang Zheneng Electric Power","zhejiang zheneng electric power|zzepc"
"NEC","NEC Corporation"
